Archivo,N,Epsilon,TipoExperimento,Parametro,Estimado,Exacto,ErrorAbs,ErrorRel
Log-normal.txt,5000000,0.1,Quantile,0,214551,214551,0,0.000
Log-normal.txt,5000000,0.100,Quantile,0.020,802423,1170726,368303,0.315
Log-normal.txt,5000000,0.100,Quantile,0.040,1070851,1362126,291275,0.214
Log-normal.txt,5000000,0.100,Quantile,0.060,1308708,1502511,193803,0.129
Log-normal.txt,5000000,0.100,Quantile,0.080,1442076,1619340,177264,0.109
Log-normal.txt,5000000,0.100,Quantile,0.100,1540610,1723093,182483,0.106
Log-normal.txt,5000000,0.100,Quantile,0.120,1675701,1817694,141993,0.078
Log-normal.txt,5000000,0.100,Quantile,0.140,1762049,1905381,143332,0.075
Log-normal.txt,5000000,0.100,Quantile,0.160,1840963,1988920,147957,0.074
Log-normal.txt,5000000,0.100,Quantile,0.180,1937897,2069039,131142,0.063
Log-normal.txt,5000000,0.100,Quantile,0.200,2020436,2146653,126217,0.059
Log-normal.txt,5000000,0.100,Quantile,0.220,2085108,2222370,137262,0.062
Log-normal.txt,5000000,0.100,Quantile,0.240,2175876,2296886,121010,0.053
Log-normal.txt,5000000,0.100,Quantile,0.260,2244960,2370437,125477,0.053
Log-normal.txt,5000000,0.100,Quantile,0.280,2309963,2442863,132900,0.054
Log-normal.txt,5000000,0.100,Quantile,0.300,2398954,2515032,116078,0.046
Log-normal.txt,5000000,0.100,Quantile,0.320,2465408,2586958,121550,0.047
Log-normal.txt,5000000,0.100,Quantile,0.340,2529202,2659533,130331,0.049
Log-normal.txt,5000000,0.100,Quantile,0.360,2614987,2732017,117030,0.043
Log-normal.txt,5000000,0.100,Quantile,0.380,2679780,2805707,125927,0.045
Log-normal.txt,5000000,0.100,Quantile,0.400,2741713,2879345,137632,0.048
Log-normal.txt,5000000,0.100,Quantile,0.420,2828097,2954121,126024,0.043
Log-normal.txt,5000000,0.100,Quantile,0.440,2895280,3030496,135216,0.045
Log-normal.txt,5000000,0.100,Quantile,0.460,2959738,3108132,148394,0.048
Log-normal.txt,5000000,0.100,Quantile,0.480,3058431,3187136,128705,0.040
Log-normal.txt,5000000,0.100,Quantile,0.500,3124740,3267905,143165,0.044
Log-normal.txt,5000000,0.100,Quantile,0.520,3191594,3351049,159455,0.048
Log-normal.txt,5000000,0.100,Quantile,0.540,3295133,3436094,140961,0.041
Log-normal.txt,5000000,0.100,Quantile,0.560,3367051,3524136,157085,0.045
Log-normal.txt,5000000,0.100,Quantile,0.580,3443251,3615346,172095,0.048
Log-normal.txt,5000000,0.100,Quantile,0.600,3554623,3710046,155423,0.042
Log-normal.txt,5000000,0.100,Quantile,0.620,3631038,3807958,176920,0.046
Log-normal.txt,5000000,0.100,Quantile,0.640,3723156,3910175,187019,0.048
Log-normal.txt,5000000,0.100,Quantile,0.660,3843188,4017661,174473,0.043
Log-normal.txt,5000000,0.100,Quantile,0.680,3931625,4130518,198893,0.048
Log-normal.txt,5000000,0.100,Quantile,0.700,4031492,4249016,217524,0.051
Log-normal.txt,5000000,0.100,Quantile,0.720,4167652,4374321,206669,0.047
Log-normal.txt,5000000,0.100,Quantile,0.740,4275696,4508873,233177,0.052
Log-normal.txt,5000000,0.100,Quantile,0.760,4385636,4652693,267057,0.057
Log-normal.txt,5000000,0.100,Quantile,0.780,4555257,4809008,253751,0.053
Log-normal.txt,5000000,0.100,Quantile,0.800,4687746,4978696,290950,0.058
Log-normal.txt,5000000,0.100,Quantile,0.820,4826640,5165753,339113,0.066
Log-normal.txt,5000000,0.100,Quantile,0.840,5044861,5375507,330646,0.062
Log-normal.txt,5000000,0.100,Quantile,0.860,5218443,5610960,392517,0.070
Log-normal.txt,5000000,0.100,Quantile,0.880,5400598,5882824,482226,0.082
Log-normal.txt,5000000,0.100,Quantile,0.900,5713384,6204900,491516,0.079
Log-normal.txt,5000000,0.100,Quantile,0.920,5969375,6599196,629821,0.095
Log-normal.txt,5000000,0.100,Quantile,0.940,6274332,7113367,839035,0.118
Log-normal.txt,5000000,0.100,Quantile,0.960,6850424,7846693,996269,0.127
Log-normal.txt,5000000,0.100,Quantile,0.980,7397424,9127987,1730563,0.190
Log-normal.txt,5000000,0.100,Rank,214551,0,0,0,-1.00
Log-normal.txt,5000000,0.10,Rank,1170726,225926,100000,125926,1.26
Log-normal.txt,5000000,0.10,Rank,1362126,366088,200000,166088,0.83
Log-normal.txt,5000000,0.10,Rank,1502511,449553,300000,149553,0.50
Log-normal.txt,5000000,0.10,Rank,1619340,555156,400000,155156,0.39
Log-normal.txt,5000000,0.10,Rank,1723093,670745,500000,170745,0.34
Log-normal.txt,5000000,0.10,Rank,1817694,750236,599998,150238,0.25
Log-normal.txt,5000000,0.10,Rank,1905381,880291,700000,180291,0.26
Log-normal.txt,5000000,0.10,Rank,1988920,971432,800000,171432,0.21
Log-normal.txt,5000000,0.10,Rank,2069039,1055021,899999,155022,0.17
Log-normal.txt,5000000,0.10,Rank,2146653,1184944,1000000,184944,0.18
Log-normal.txt,5000000,0.10,Rank,2222370,1268020,1100000,168020,0.15
Log-normal.txt,5000000,0.10,Rank,2296886,1361717,1200000,161717,0.13
Log-normal.txt,5000000,0.10,Rank,2370437,1487543,1300000,187543,0.14
Log-normal.txt,5000000,0.10,Rank,2442863,1569210,1400000,169210,0.12
Log-normal.txt,5000000,0.10,Rank,2515032,1666365,1500000,166365,0.11
Log-normal.txt,5000000,0.10,Rank,2586958,1784256,1599999,184257,0.12
Log-normal.txt,5000000,0.10,Rank,2659533,1873728,1700000,173728,0.10
Log-normal.txt,5000000,0.10,Rank,2732017,1972930,1800000,172930,0.10
Log-normal.txt,5000000,0.10,Rank,2805707,2086597,1899999,186598,0.10
Log-normal.txt,5000000,0.10,Rank,2879345,2171724,2000000,171724,0.09
Log-normal.txt,5000000,0.10,Rank,2954121,2285902,2100000,185902,0.09
Log-normal.txt,5000000,0.10,Rank,3030496,2387154,2200000,187154,0.09
Log-normal.txt,5000000,0.10,Rank,3108132,2464730,2299999,164731,0.07
Log-normal.txt,5000000,0.10,Rank,3187136,2590555,2399995,190560,0.08
Log-normal.txt,5000000,0.10,Rank,3267905,2685662,2499999,185663,0.07
Log-normal.txt,5000000,0.10,Rank,3351049,2766819,2599999,166820,0.06
Log-normal.txt,5000000,0.10,Rank,3436094,2887013,2700000,187013,0.07
Log-normal.txt,5000000,0.10,Rank,3524136,2982887,2799999,182888,0.07
Log-normal.txt,5000000,0.10,Rank,3615346,3061616,2900000,161616,0.06
Log-normal.txt,5000000,0.10,Rank,3710046,3187575,3000000,187575,0.06
Log-normal.txt,5000000,0.10,Rank,3807958,3282937,3100000,182937,0.06
Log-normal.txt,5000000,0.10,Rank,3910175,3361787,3200000,161787,0.05
Log-normal.txt,5000000,0.10,Rank,4017661,3479940,3300000,179940,0.05
Log-normal.txt,5000000,0.10,Rank,4130518,3581451,3400000,181451,0.05
Log-normal.txt,5000000,0.10,Rank,4249016,3658641,3500000,158641,0.05
Log-normal.txt,5000000,0.10,Rank,4374321,3782550,3600000,182550,0.05
Log-normal.txt,5000000,0.10,Rank,4508873,3879703,3700000,179703,0.05
Log-normal.txt,5000000,0.10,Rank,4652693,3958686,3800000,158686,0.04
Log-normal.txt,5000000,0.10,Rank,4809008,4074785,3899998,174787,0.04
Log-normal.txt,5000000,0.10,Rank,4978696,4178599,4000000,178599,0.04
Log-normal.txt,5000000,0.10,Rank,5165753,4257705,4100000,157705,0.04
Log-normal.txt,5000000,0.10,Rank,5375507,4375467,4199998,175469,0.04
Log-normal.txt,5000000,0.10,Rank,5610960,4476846,4299999,176847,0.04
Log-normal.txt,5000000,0.10,Rank,5882824,4560176,4400000,160176,0.04
Log-normal.txt,5000000,0.10,Rank,6204900,4651443,4500000,151443,0.03
Log-normal.txt,5000000,0.10,Rank,6599196,4773558,4599999,173559,0.04
Log-normal.txt,5000000,0.10,Rank,7113367,4850746,4700000,150746,0.03
Log-normal.txt,5000000,0.10,Rank,7846693,4929468,4800000,129468,0.03
Log-normal.txt,5000000,0.10,Rank,9127987,5000000,4900000,100000,0.02
Log-normal.txt,5000000,0.05,Quantile,0.00,214551,214551,0,0.000
Log-normal.txt,5000000,0.050,Quantile,0.020,952729,1170726,217997,0.186
Log-normal.txt,5000000,0.050,Quantile,0.040,1216026,1362126,146100,0.107
Log-normal.txt,5000000,0.050,Quantile,0.060,1386074,1502511,116437,0.077
Log-normal.txt,5000000,0.050,Quantile,0.080,1522692,1619340,96648,0.060
Log-normal.txt,5000000,0.050,Quantile,0.100,1635189,1723093,87904,0.051
Log-normal.txt,5000000,0.050,Quantile,0.120,1738652,1817694,79042,0.043
Log-normal.txt,5000000,0.050,Quantile,0.140,1827776,1905381,77605,0.041
Log-normal.txt,5000000,0.050,Quantile,0.160,1914530,1988920,74390,0.037
Log-normal.txt,5000000,0.050,Quantile,0.180,1995338,2069039,73701,0.036
Log-normal.txt,5000000,0.050,Quantile,0.200,2080912,2146653,65741,0.031
Log-normal.txt,5000000,0.050,Quantile,0.220,2152809,2222370,69561,0.031
Log-normal.txt,5000000,0.050,Quantile,0.240,2227242,2296886,69644,0.030
Log-normal.txt,5000000,0.050,Quantile,0.260,2303087,2370437,67350,0.028
Log-normal.txt,5000000,0.050,Quantile,0.280,2373445,2442863,69418,0.028
Log-normal.txt,5000000,0.050,Quantile,0.300,2447165,2515032,67867,0.027
Log-normal.txt,5000000,0.050,Quantile,0.320,2518331,2586958,68627,0.027
Log-normal.txt,5000000,0.050,Quantile,0.340,2591678,2659533,67855,0.026
Log-normal.txt,5000000,0.050,Quantile,0.360,2663905,2732017,68112,0.025
Log-normal.txt,5000000,0.050,Quantile,0.380,2735090,2805707,70617,0.025
Log-normal.txt,5000000,0.050,Quantile,0.400,2807909,2879345,71436,0.025
Log-normal.txt,5000000,0.050,Quantile,0.420,2883629,2954121,70492,0.024
Log-normal.txt,5000000,0.050,Quantile,0.440,2957865,3030496,72631,0.024
Log-normal.txt,5000000,0.050,Quantile,0.460,3034701,3108132,73431,0.024
Log-normal.txt,5000000,0.050,Quantile,0.480,3107613,3187136,79523,0.025
Log-normal.txt,5000000,0.050,Quantile,0.500,3192089,3267905,75816,0.023
Log-normal.txt,5000000,0.050,Quantile,0.520,3267762,3351049,83287,0.025
Log-normal.txt,5000000,0.050,Quantile,0.540,3356429,3436094,79665,0.023
Log-normal.txt,5000000,0.050,Quantile,0.560,3436533,3524136,87603,0.025
