Archivo,N,Epsilon,TipoExperimento,Parametro,Estimado,Exacto,ErrorAbs,ErrorRel
Uniform.txt,5000000,0.1,Quantile,0,1,1,0,0.000
Uniform.txt,5000000,0.100,Quantile,0.020,2258,20095,17837,0.888
Uniform.txt,5000000,0.100,Quantile,0.040,13012,39991,26979,0.675
Uniform.txt,5000000,0.100,Quantile,0.060,34941,60046,25105,0.418
Uniform.txt,5000000,0.100,Quantile,0.080,50677,80104,29427,0.367
Uniform.txt,5000000,0.100,Quantile,0.100,66564,100036,33472,0.335
Uniform.txt,5000000,0.100,Quantile,0.120,90837,120026,29189,0.243
Uniform.txt,5000000,0.100,Quantile,0.140,107371,140113,32742,0.234
Uniform.txt,5000000,0.100,Quantile,0.160,124463,160193,35730,0.223
Uniform.txt,5000000,0.100,Quantile,0.180,147166,180127,32961,0.183
Uniform.txt,5000000,0.100,Quantile,0.200,166586,199955,33369,0.167
Uniform.txt,5000000,0.100,Quantile,0.220,183820,220123,36303,0.165
Uniform.txt,5000000,0.100,Quantile,0.240,207953,240127,32174,0.134
Uniform.txt,5000000,0.100,Quantile,0.260,226441,260140,33699,0.130
Uniform.txt,5000000,0.100,Quantile,0.280,242485,280120,37635,0.134
Uniform.txt,5000000,0.100,Quantile,0.300,266571,300096,33525,0.112
Uniform.txt,5000000,0.100,Quantile,0.320,285916,320070,34154,0.107
Uniform.txt,5000000,0.100,Quantile,0.340,302718,340011,37293,0.110
Uniform.txt,5000000,0.100,Quantile,0.360,327174,359991,32817,0.091
Uniform.txt,5000000,0.100,Quantile,0.380,344842,380038,35196,0.093
Uniform.txt,5000000,0.100,Quantile,0.400,362773,400065,37292,0.093
Uniform.txt,5000000,0.100,Quantile,0.420,386315,420041,33726,0.080
Uniform.txt,5000000,0.100,Quantile,0.440,403429,440016,36587,0.083
Uniform.txt,5000000,0.100,Quantile,0.460,422074,459957,37883,0.082
Uniform.txt,5000000,0.100,Quantile,0.480,445445,479948,34503,0.072
Uniform.txt,5000000,0.100,Quantile,0.500,464909,499897,34988,0.070
Uniform.txt,5000000,0.100,Quantile,0.520,482930,519901,36971,0.071
Uniform.txt,5000000,0.100,Quantile,0.540,505367,539980,34613,0.064
Uniform.txt,5000000,0.100,Quantile,0.560,523758,559929,36171,0.065
Uniform.txt,5000000,0.100,Quantile,0.580,541598,579909,38311,0.066
Uniform.txt,5000000,0.100,Quantile,0.600,565798,600058,34260,0.057
Uniform.txt,5000000,0.100,Quantile,0.620,583790,619931,36141,0.058
Uniform.txt,5000000,0.100,Quantile,0.640,602713,639936,37223,0.058
Uniform.txt,5000000,0.100,Quantile,0.660,626423,659921,33498,0.051
Uniform.txt,5000000,0.100,Quantile,0.680,644791,679857,35066,0.052
Uniform.txt,5000000,0.100,Quantile,0.700,661160,699934,38774,0.055
Uniform.txt,5000000,0.100,Quantile,0.720,686142,719910,33768,0.047
