Archivo,N,Epsilon,TipoExperimento,Parametro,Estimado,Exacto,ErrorAbs,ErrorRel
chicago2016.txt,31166491,0.1,Quantile,0,46,46,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.020,46,46,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.040,46,48,2,0.042
chicago2016.txt,31166491,0.100,Quantile,0.060,46,56,10,0.179
chicago2016.txt,31166491,0.100,Quantile,0.080,50,56,6,0.107
chicago2016.txt,31166491,0.100,Quantile,0.100,56,56,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.120,56,56,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.140,56,64,8,0.125
chicago2016.txt,31166491,0.100,Quantile,0.160,56,64,8,0.125
chicago2016.txt,31166491,0.100,Quantile,0.180,64,84,20,0.238
chicago2016.txt,31166491,0.100,Quantile,0.200,64,110,46,0.418
chicago2016.txt,31166491,0.100,Quantile,0.220,81,141,60,0.426
chicago2016.txt,31166491,0.100,Quantile,0.240,109,204,95,0.466
chicago2016.txt,31166491,0.100,Quantile,0.260,136,204,68,0.333
chicago2016.txt,31166491,0.100,Quantile,0.280,204,204,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.300,204,241,37,0.154
chicago2016.txt,31166491,0.100,Quantile,0.320,204,436,232,0.532
chicago2016.txt,31166491,0.100,Quantile,0.340,229,749,520,0.694
chicago2016.txt,31166491,0.100,Quantile,0.360,397,1103,706,0.640
chicago2016.txt,31166491,0.100,Quantile,0.380,730,1348,618,0.458
chicago2016.txt,31166491,0.100,Quantile,0.400,1080,1404,324,0.231
chicago2016.txt,31166491,0.100,Quantile,0.420,1324,1424,100,0.070
chicago2016.txt,31166491,0.100,Quantile,0.440,1404,1432,28,0.020
chicago2016.txt,31166491,0.100,Quantile,0.460,1424,1444,20,0.014
chicago2016.txt,31166491,0.100,Quantile,0.480,1430,1455,25,0.017
chicago2016.txt,31166491,0.100,Quantile,0.500,1444,1458,14,0.010
chicago2016.txt,31166491,0.100,Quantile,0.520,1454,1458,4,0.003
chicago2016.txt,31166491,0.100,Quantile,0.540,1458,1458,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.560,1458,1458,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.580,1458,1458,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.600,1458,1458,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.620,1458,1458,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.640,1458,1458,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.660,1458,1464,6,0.004
chicago2016.txt,31166491,0.100,Quantile,0.680,1458,1474,16,0.011
chicago2016.txt,31166491,0.100,Quantile,0.700,1464,1484,20,0.013
chicago2016.txt,31166491,0.100,Quantile,0.720,1474,1504,30,0.020
chicago2016.txt,31166491,0.100,Quantile,0.740,1484,1504,20,0.013
chicago2016.txt,31166491,0.100,Quantile,0.760,1497,1504,7,0.005
chicago2016.txt,31166491,0.100,Quantile,0.780,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.800,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.820,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.840,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.860,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.880,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.900,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.920,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.940,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.960,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Quantile,0.980,1504,1504,0,0.000
chicago2016.txt,31166491,0.100,Rank,46,0,0,0,-1.00
chicago2016.txt,31166491,0.10,Rank,46,0,0,0,-1.00
chicago2016.txt,31166491,0.10,Rank,48,2443541,1234059,1209482,0.98
chicago2016.txt,31166491,0.10,Rank,56,2894590,1676313,1218277,0.73
chicago2016.txt,31166491,0.10,Rank,56,2894590,1676313,1218277,0.73
chicago2016.txt,31166491,0.10,Rank,56,2894590,1676313,1218277,0.73
chicago2016.txt,31166491,0.10,Rank,56,2894590,1676313,1218277,0.73
chicago2016.txt,31166491,0.10,Rank,64,5551626,4242349,1309277,0.31
chicago2016.txt,31166491,0.10,Rank,64,5551626,4242349,1309277,0.31
chicago2016.txt,31166491,0.10,Rank,84,6896622,5591739,1304883,0.23
chicago2016.txt,31166491,0.10,Rank,110,7487253,6227594,1259659,0.20
chicago2016.txt,31166491,0.10,Rank,141,8184057,6854651,1329406,0.19
chicago2016.txt,31166491,0.10,Rank,204,8676446,7365554,1310892,0.18
chicago2016.txt,31166491,0.10,Rank,204,8676446,7365554,1310892,0.18
chicago2016.txt,31166491,0.10,Rank,204,8676446,7365554,1310892,0.18
chicago2016.txt,31166491,0.10,Rank,241,10644832,9348818,1296014,0.14
chicago2016.txt,31166491,0.10,Rank,436,11309030,9972157,1336873,0.13
chicago2016.txt,31166491,0.10,Rank,749,11891440,10596073,1295367,0.12
chicago2016.txt,31166491,0.10,Rank,1103,12547406,11219793,1327613,0.12
